Chapter Name
TX - Houston
TX - Odessa
TX - San Antonio
TX - Taft-Portland
Uganda
VA - Fairfax (George Mason University)
VA - Fredericksburg
VA - Fredericksburg St Mary Youth Ministry Run Club
VA - Leesburg
VA - Manassas
Vanuatu
WA - Tacoma
Which local chapter are you joining?
WI - Eau Claire
WI - Milwaukee (Marquette University)
