Chapter Name
NE - Plattsmouth St John the Baptist School
NE - Ralston St. Gerald School
NE - South Sioux City St. Michael's Catholic School/MHCC
NE - West Point
NE - West Point Guardian Angels School
NE - West Point St Paul Lutheran School
New Zealand - Christchurch
NH - Danbury
NJ - Deptford
NJ - St. Cecilia
NM - Albuquerque
NM - Aztec
NY - Albany
NY - Finger Lakes
NY - Long Island
NY - New York City
OH - Chardon
OH - Cincinnati
OH - Crown City
OH - Dayton
OH - Franciscan Univ
OH - Toledo-NW
OR - Hillsboro
PA - Nazareth
PA - Philadelphia
PA - Pittsburgh
Poland
SC - Aiken
SC - Hilton Head
SC - Univ of SC
SD - Aberdeen
SD - Elk Point Jefferson Dakota Dunes-Religious Ed
SD - Elkton/Lake Benton
SD - Rapid City
SD - SDSU
SD - Sioux Falls
SD - Sioux Falls (Augustana Univ)
SD - Sioux Falls St. Katharine Drexel School
SD - St Thomas More HS
SD - Watertown
SD - Yankton
Sierra Leone
Singapore
Tanzania - Tabora
Tonga
TX - Austin
TX - Corpus Christi
TX - Dallas/Fort Worth
TX - Dallas/Fort Worth (sponsored by Sidewalk Advocates for Life)
