Chapter Name
IA - Sioux City Mater Dei Catholic School
IA - Sioux City Sacred Heart School
IA - Sioux City Scared Heart School
ID - Boise
IL - Chicago
IL - Chicago South
IL - Dunlap
IL - Effingham
IL - Southern IL Univ
IL - Springfield
IN - Indianapolis
IN - Notre Dame - St. Mary's College
India - Pune
Kenya
KS - Beloit
KS - Beloit St John Schools
KS - Benedictine College
KS - Garnett St Rose School
KS - Greeley
KS - Olathe
KS - Overland Park
KS - Overland Park Church of the Ascension
KS - Topeka
KS - Wichita
LA - Baton Rouge
LA - Lafayette
LA - New Orleans
Liberia
MA - Scituate
MA - Springfield (Western MA)
MA - Still River
MD - Baltimore
MD - Calvert County
MD - St. Mary's Hagerstown
MEX - Autlan
MEX - Cuautitlan Izcalli
MEX - Monterrey
MI - Detroit
MI - Everest Catholic School
MI - Gaylord
MI - Gaylord St. Mary Cathedral School
MI - Lansing
MI - Traverse City
MO - Cape Girardeau
MO - Chillicothe
MO - Helias CHS
MO - Jefferson City
MO - Jefferson City  Immaculate Conception
MO - Jefferson City  Immaculate Conception School
MO - Jefferson City Blair Oaks
