Chapter Name
MO - Jefferson City Blair Oaks HS
MO - Jefferson City High School
MO - Jefferson City Immaculate Conception School
MO - Jefferson City St Joseph Cathedral School
MO - Jefferson City St Peter School
MO - Jefferson City St Stanislaus School
MO - Kansas City
MO - Kenrick-Glennon Seminary
MO - Springfield
MO - St. Louis
MO - St. Louis - JohnPaul2
MO - St. Louis of Assisi Youth Runners
MO - St. Louis St Francis of Assisi Youth Runners
MO - St. Louis St. Austin School
MO - St. Martin School
MO - St. Martin's School
MO - Taos St Francis Xavier School
MO - Thomas Jefferson Middle School
MO - Warrensburg
MO - Wentzville
MO - Wentzville_
MO - Westphalia St Joseph School
MS - Biloxi
MS - Diamondhead
NC - Fort Bragg
NC - Jacksonville
NC - Rocky Mount
ND - Grand Forks
ND - Killdeer
NE - Auburn
NE - Bellevue Gross Catholic HS
NE - Bellevue St Mary Catholic Church
NE - Bellevue St Matthew Catholic Church
NE - Bellevue St Matthew Catholic School
NE - Creighton (town)
NE - Creighton Prep HS
NE - Creighton University
NE - Immaculate Conception Youth Group
NE - Lincoln
NE - Lincoln St. Michael School
NE - Omaha
NE - Omaha Central HS
NE - Omaha Skutt Catholic HS
NE - Omaha St James Seton School
NE - Omaha St Peter and Paul Catholic ES
NE - Omaha St. Barnabas School
NE - Papillion St Columbkille School
NE - Papillion-LaVista HS
NE - Papio South HS
NE - Plattsmouth
